home_l1,home_l2,work_l1,work_l2,public_l2,public_l3
827.05,2757.39,14.0,86.4,345.18,0.0
812.66,2475.91,14.0,72.6,311.52,0.0
794.42,2174.86,11.95,59.84,270.03,0.0
770.94,1900.35,9.8,49.85,231.43,0.0
743.99,1666.96,8.4,43.13,209.72,0.0
727.42,1349.02,8.4,53.52,173.67,0.0
690.69,1238.82,8.4,59.62,149.31,0.0
665.79,1059.68,8.4,58.89,146.54,0.0
639.85,908.4,8.4,45.17,144.63,0.0
615.05,761.49,8.4,45.13,123.26,0.0
586.91,668.96,10.27,48.74,117.6,0.0
552.27,566.74,11.2,58.32,116.51,0.0
525.34,471.04,11.2,53.08,108.67,0.0
501.59,389.93,11.2,63.27,102.98,0.0
478.91,311.15,14.28,69.0,84.18,0.0
450.04,270.0,15.4,63.73,84.81,0.0
422.96,227.08,15.4,64.11,118.77,0.0
400.36,175.23,15.4,98.5,108.1,0.0
368.93,136.08,15.4,122.4,96.47,0.0
342.34,110.4,15.4,129.82,119.62,0.0
319.16,96.83,15.66,140.16,141.44,0.0
303.68,85.71,17.64,152.87,165.49,0.0
283.69,70.48,18.74,147.55,197.69,0.0
266.91,66.35,22.26,191.17,243.42,0.0
245.06,58.31,26.67,207.21,316.15,0.0
218.02,79.73,31.87,203.33,353.41,0.0
198.35,83.37,43.23,224.21,407.17,0.0
184.16,88.66,53.48,248.29,494.33,0.0
175.96,124.67,67.07,281.57,647.8,40.99
162.14,128.09,78.43,293.45,712.24,45.73
142.3,147.29,91.21,266.74,837.72,61.51
124.68,169.69,109.36,281.69,930.6,41.21
114.47,179.8,131.98,329.92,1170.25,70.49
111.52,210.2,144.8,394.77,1299.42,111.48
104.63,217.56,168.99,453.49,1421.4,92.73
98.23,253.24,180.53,519.65,1546.64,97.7
97.1,268.21,187.74,594.8,1721.6,216.61
92.16,283.34,206.0,633.5,1823.67,338.4
85.98,321.25,227.73,741.32,1894.22,143.44
86.65,319.72,245.32,885.67,1875.75,78.19
84.75,372.43,255.36,1019.52,1997.53,145.33
82.29,395.92,267.41,1187.45,2077.01,179.36
83.08,415.23,280.08,1330.37,2002.73,121.28
89.06,438.11,289.72,1496.19,1961.23,42.34
91.93,493.18,294.43,1527.17,1951.92,41.0
94.8,562.86,300.23,1679.36,1948.27,95.68
94.52,599.39,306.96,1800.12,1831.63,224.11
101.17,673.97,317.49,1919.71,1863.9,186.17
114.81,870.6,315.03,1792.9,1806.01,254.16
134.47,992.72,322.44,1921.32,1768.1,246.25
138.19,1125.47,323.32,1952.59,1733.31,107.61
151.68,1108.69,332.83,2110.35,1779.99,123.48
163.0,1062.3,332.54,2171.19,1846.35,184.56
174.98,1146.83,340.44,2392.48,1842.88,255.3
182.01,1219.14,348.41,2463.62,1876.76,286.44
192.3,1233.18,355.89,2543.13,1834.37,342.77
205.33,1294.48,351.9,2630.67,1658.34,177.79
213.44,1297.28,358.22,2853.63,1570.29,114.08
236.9,1560.54,343.93,2917.44,1518.19,175.08
251.97,1773.88,350.19,3080.81,1468.69,38.74
287.44,2118.37,341.22,2990.45,1388.93,51.93
325.79,2430.84,340.83,3211.57,1411.67,146.32
354.03,2865.25,326.65,3077.72,1444.1,95.92
390.89,3199.61,323.57,3267.7,1432.89,149.38
437.09,3692.53,298.32,2951.85,1548.28,97.13
467.1,3897.74,278.56,3038.95,1539.94,95.37
503.6,4018.0,259.6,2845.59,1518.54,103.8
532.51,4382.5,246.39,2951.55,1538.32,99.06
575.08,5180.07,189.74,2218.86,1564.0,126.58
602.74,5676.98,170.43,1998.53,1576.52,155.59
668.11,6508.71,142.01,1598.77,1680.2,128.28
715.33,6822.87,125.84,1428.2,1731.06,217.47
758.53,6995.65,96.17,1127.18,1760.94,180.86
797.19,7253.38,82.88,987.62,1831.44,184.49
839.6,7425.52,65.36,815.07,1812.24,82.35
861.77,7391.51,66.21,759.68,1811.55,102.51
890.93,7368.22,62.15,599.69,1873.49,96.53
916.66,7315.32,56.28,560.94,1821.17,169.0
938.44,7371.89,52.15,483.71,1692.07,133.23
957.43,7288.97,51.67,471.24,1611.56,75.03
971.48,7152.32,48.8,361.14,1480.44,41.01
979.19,6966.65,46.58,360.57,1335.54,44.0
991.41,6828.5,42.93,320.08,1231.15,111.5
1009.9,6565.39,39.76,331.8,1090.44,45.74
1022.39,6327.73,34.07,288.18,945.59,0.0
1028.79,6270.58,31.27,290.26,891.27,0.0
1029.52,6233.29,28.37,256.31,813.72,0.0
1029.41,6076.28,26.79,252.23,703.93,0.0
1025.22,5858.09,15.96,169.79,651.03,0.0
1018.74,5558.64,14.0,159.29,630.06,0.0
999.58,5147.56,14.76,122.52,584.53,0.0
998.51,4818.21,12.79,104.78,552.31,0.0
970.76,4417.23,11.67,92.77,518.27,0.0
934.25,3961.89,11.56,80.89,485.18,0.0
913.78,3656.26,14.48,80.79,460.47,0.0
891.24,3229.71,14.0,85.37,401.27,0.0
